code_id,code_name,symbol,timeframe,risk_model,period_start,period_end,is_oos,trades,win_rate_pct,profit_factor,net_profit_pct,max_dd_pct,avg_r,verdict,notes
1,utbot,BTCUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,16,62.5,0.94,-1.66,-7.37,-0.025,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,6,0.0,0.0,-17.73,-15.01,-1.067,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,21,23.8,0.47,-13.37,-12.48,,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,5,60.0,2.25,2.98,-2.39,0.6,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,5,40.0,2.11,3.91,-3.56,0.8,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,5,80.0,2.25,3.96,-3.2,0.267,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,3,100.0,inf,11.84,0.0,1.267,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,4,50.0,0.55,-2.08,-4.47,,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,3,66.7,3.0,2.39,-1.2,0.8,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,3,33.3,1.58,1.32,-1.2,0.467,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,3,66.7,1.12,0.32,-3.2,0.044,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,3,33.3,0.59,-2.74,-3.2,-0.289,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,2,50.0,0.32,-3.08,0.0,,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,2,50.0,1.5,0.58,0.0,0.3,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,2,50.0,3.17,2.55,0.0,1.3,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,2,50.0,0.56,-1.46,0.0,-0.233,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,2,50.0,1.19,0.48,0.0,0.1,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,1,100.0,inf,2.02,0.0,,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,BTCUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,BTCUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,BTCUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,BTCUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,BTCUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,BTCUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,BTCUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,BTCUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,BTCUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
1,utbot,HYPEUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,244,29.1,0.62,-56.04,-60.21,-0.327,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,159,18.9,0.74,-35.5,-47.4,-0.257,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,95,62.1,0.92,-11.16,-25.13,-0.032,fail,"1-month window, costs included"
